order_id,order_date,customer_id,shipping_method_id,dest_address_id
1,2023-10-24 23:54:02,1461,4,518
2,2023-07-24 04:54:02,1615,2,458
3,2023-10-08 21:10:52,147,1,977
4,2023-11-06 00:42:33,1146,4,743
5,2023-12-26 13:07:36,1124,3,96
6,2024-08-30 01:02:25,219,3,988
7,2024-02-13 15:47:49,162,2,931
8,2024-09-20 16:57:17,783,2,434
9,2025-02-13 13:21:12,1889,4,477
10,2024-11-27 22:14:58,1735,1,929
11,2024-08-31 12:07:55,503,3,516
12,2024-06-04 23:08:12,527,4,508
13,2022-12-09 11:12:14,208,2,739
14,2022-09-04 06:43:25,1036,4,279
15,2024-09-27 19:20:09,111,2,381
16,2023-08-14 21:08:02,304,2,485
17,2022-12-17 16:15:05,878,2,894
18,2023-07-29 06:41:34,1045,2,625
19,2022-09-30 06:11:54,176,3,959
20,2022-10-13 17:55:59,1189,3,53
21,2025-04-16 21:38:49,1396,2,918
22,2023-07-13 10:34:00,1537,2,501
23,2024-06-01 14:14:58,1209,4,387
24,2025-06-10 11:23:04,1931,1,592
25,2025-02-18 19:40:37,941,3,223
26,2024-04-08 04:09:45,1591,1,987
27,2025-06-08 15:30:15,1025,1,63
28,2022-11-30 10:40:31,1911,2,329
29,2024-11-10 21:59:29,1450,1,602
30,2024-01-30 05:50:26,946,2,924
31,2024-08-12 09:29:35,938,3,259
32,2025-02-25 21:38:02,1854,3,877
33,2025-04-29 12:43:51,1745,2,692
34,2023-11-16 02:28:05,184,4,706
35,2023-03-30 21:03:28,1527,4,315
36,2022-12-13 19:15:47,1754,2,753
37,2023-06-23 10:03:15,1522,2,896
38,2023-07-05 12:43:03,1770,2,566
39,2024-12-22 10:08:44,796,4,145
40,2023-09-13 09:21:36,1443,1,133
41,2022-11-09 20:29:36,1563,3,23
42,2024-04-28 03:13:02,1306,1,164
43,2024-03-20 10:54:49,106,2,215
44,2024-09-27 12:47:34,1678,2,950
45,2024-05-17 13:28:38,195,4,541
46,2025-08-03 07:47:47,872,4,105
47,2024-04-19 22:43:02,397,1,753
48,2023-12-31 11:40:51,1185,3,81
49,2023-09-21 14:54:29,1385,1,587
50,2023-03-08 01:04:32,364,4,287
51,2024-01-15 19:57:14,1439,3,381
52,2024-12-13 06:29:10,95,1,277
53,2024-07-30 01:21:22,1483,3,21
54,2023-10-28 20:26:10,936,4,709
55,2024-03-04 23:01:35,1866,2,148
56,2025-02-26 19:00:32,759,3,360
57,2022-11-24 08:59:14,1520,2,244
58,2023-09-25 03:06:10,1103,1,393
59,2022-11-09 04:52:42,652,3,37
60,2025-01-19 03:18:53,1739,4,901
61,2022-11-19 23:24:14,190,2,483
62,2024-06-08 00:03:37,1026,4,244
63,2024-02-20 12:52:29,775,2,504
64,2023-05-24 01:05:41,777,3,243
65,2023-01-29 08:09:49,1999,1,506
66,2022-11-12 05:00:21,532,2,613
67,2024-03-30 11:44:34,1489,1,340
68,2023-04-28 10:30:47,1319,3,275
69,2023-06-20 04:55:26,559,2,813
70,2024-01-30 20:37:15,416,2,437
71,2022-11-25 05:05:00,1818,2,73
72,2025-03-22 10:12:19,1267,3,212
73,2024-12-08 02:12:11,1421,1,648
74,2024-01-04 18:54:45,1068,3,683
75,2023-06-12 06:52:11,1843,3,95
76,2022-11-29 21:36:05,240,2,482
77,2024-07-20 15:36:31,407,3,872
78,2024-02-09 17:24:01,696,2,941
79,2024-06-25 10:46:26,38,4,574
80,2024-11-14 13:45:24,257,1,938
81,2023-03-08 00:43:04,1734,4,403
82,2023-06-14 09:18:55,1354,2,423
83,2023-09-23 23:28:34,1696,1,848
84,2023-05-23 21:41:25,1582,3,221
85,2024-05-20 09:14:59,1639,4,187
86,2022-11-08 03:16:01,377,2,197
87,2024-06-06 14:35:30,1497,4,278
88,2025-07-21 20:52:29,424,4,276
89,2024-04-19 01:54:46,225,1,23
90,2023-10-07 16:37:35,1854,4,370
91,2023-09-02 03:14:25,1626,1,366
92,2022-11-20 04:36:57,1894,2,284
93,2025-02-09 22:24:36,1553,3,32
94,2025-04-28 05:32:50,1202,2,498
95,2023-08-29 09:22:05,1131,1,268
96,2022-12-16 03:34:05,1537,2,706
97,2025-07-26 16:22:44,997,4,876
98,2023-07-03 12:54:43,1093,2,591
99,2024-03-28 14:48:05,1692,1,169
100,2023-03-05 03:25:41,571,4,522
101,2023-01-20 17:58:28,247,1,802
102,2024-12-23 14:24:51,430,4,112
103,2025-02-08 20:03:57,1893,3,970
104,2025-07-07 08:45:53,1836,1,356
105,2025-05-04 07:54:56,952,2,133
106,2024-07-01 23:19:10,1631,3,220
107,2025-06-01 22:23:16,1356,1,871
108,2025-03-11 21:26:12,1642,3,929
109,2023-07-06 17:44:27,1107,2,645
110,2024-07-23 23:06:26,1827,3,373
111,2024-05-11 10:46:15,232,4,127
112,2025-05-08 22:38:03,352,2,754
113,2024-09-05 19:45:05,1831,2,80
114,2025-04-16 21:11:03,1557,2,58
115,2024-07-09 16:44:51,1599,3,798
116,2022-09-06 16:48:55,916,4,280
117,2023-10-06 23:38:30,1847,4,418
118,2025-02-18 07:42:51,344,3,682
119,2024-07-14 03:23:52,486,3,848
120,2024-11-25 15:17:23,1348,1,647
121,2024-11-08 20:59:50,1111,1,96
122,2023-08-13 01:54:15,1384,1,965
123,2023-05-01 12:11:55,1566,3,309
124,2023-03-29 21:47:06,591,4,236
125,2024-06-17 02:09:31,938,4,285
126,2024-01-18 01:05:09,1799,2,897
127,2023-11-27 07:38:49,543,3,566
128,2022-09-30 15:12:01,1238,3,930
129,2025-05-25 08:05:30,733,1,1
130,2025-07-30 08:48:08,1470,4,508
131,2022-11-17 22:37:52,1502,2,787
132,2024-11-03 05:16:40,513,1,394
133,2023-03-16 02:44:50,329,4,937
134,2025-02-24 16:50:45,1414,3,675
135,2024-07-09 12:58:20,1885,3,50
136,2023-07-16 23:47:33,1563,2,757
137,2023-08-01 00:58:39,142,1,112
138,2024-03-10 22:04:43,751,1,967
139,2022-11-28 04:41:58,1060,2,716
140,2025-05-04 17:10:09,547,2,66
141,2023-04-23 09:46:48,291,3,772
142,2023-02-20 00:50:08,88,4,51
143,2024-01-08 16:25:35,1891,2,496
144,2024-09-04 13:00:24,984,2,858
145,2024-09-15 00:44:14,1454,2,915
146,2023-04-28 01:21:41,678,3,717
147,2022-11-25 11:48:57,1265,2,768
148,2023-12-05 07:01:16,414,3,933
149,2025-08-04 15:33:54,966,4,507
150,2024-09-17 12:56:20,1532,2,92
151,2023-08-21 19:37:52,524,1,693
152,2023-04-12 19:45:20,657,3,686
153,2025-04-03 05:54:04,1835,2,644
154,2024-02-29 14:28:05,535,2,559
155,2024-03-15 10:26:05,1212,1,67
156,2022-10-12 00:34:25,822,3,845
157,2025-06-09 22:05:48,1071,1,254
158,2022-10-07 05:47:36,49,3,96
159,2024-03-17 06:42:46,348,1,833
160,2024-06-01 20:15:59,893,4,857
161,2025-05-24 19:36:25,99,1,18
162,2024-04-22 01:34:15,963,1,840
163,2025-07-23 02:30:03,20,4,384
164,2024-11-19 13:22:36,678,1,951
165,2024-04-14 16:44:02,772,1,199
166,2025-07-13 13:42:33,1720,4,955
167,2022-08-21 20:04:05,1852,4,543
168,2022-09-07 22:19:33,1137,3,832
169,2022-11-14 04:51:56,1058,2,499
170,2024-03-31 15:16:10,261,1,59
171,2022-08-18 22:12:20,329,4,552
172,2024-05-08 13:11:33,585,4,890
