customer_id,total_orders,total_spend,avg_order_value,purchase_frequency,unique_books,total_order_lines,avg_shipping_cost,preferred_shipping,recency_days,churn
1,3,50.099999999999994,8.35,6,6,6,15.6,Express,596,1
2,1,28.69,14.345,2,2,2,5.9,Standard,434,1
3,3,30.77,5.128333333333333,6,6,6,15.6,Express,365,1
4,6,127.89,9.837692307692306,13,13,13,16.053846153846152,Express,20,0
5,3,62.79,10.464999999999998,6,6,6,8.9,Express,3,0
6,1,43.56,10.89,4,4,4,5.9,Standard,135,0
7,3,36.82,9.205,4,4,4,7.4,Standard,242,1
8,3,44.58,8.916,5,5,5,18.86,International,53,0
9,3,35.879999999999995,7.176,5,5,5,8.3,Standard,130,0
10,10,202.3,8.795652173913044,23,23,23,12.943478260869565,Express,149,0
11,4,57.120000000000005,7.140000000000001,8,8,8,11.225,Express,122,0
12,7,107.03999999999999,7.645714285714284,14,14,14,13.314285714285715,Express,309,1
13,4,66.89,13.378,5,5,5,18.259999999999998,International,580,1
14,2,46.43,11.607499999999998,4,4,4,15.05,Express,765,1
15,1,2.1,2.1,1,1,1,8.9,Priority,77,0
16,6,97.54,8.867272727272727,11,11,11,8.081818181818182,Standard,551,1
17,6,161.38,10.08625,16,16,16,13.9625,Priority,324,1
18,6,87.3,6.7153846153846155,13,13,13,9.63846153846154,Priority,314,1
19,1,29.78,14.89,2,2,2,5.9,Standard,844,1
20,4,71.45,7.938888888888887,9,9,9,16.9,International,12,0
22,2,41.75,10.4375,4,4,4,18.2,Express,354,1
23,1,15.49,15.49,1,1,1,11.9,Express,415,1
24,4,102.34,11.37111111111111,9,9,9,15.5,International,724,1
25,8,161.5,9.5,17,17,17,11.476470588235294,Standard,141,0
26,4,49.41,8.235000000000001,6,6,6,11.0,Priority,87,0
27,6,108.11,9.009166666666667,12,12,12,15.85,Express,11,0
28,3,70.00999999999999,11.668333333333331,6,6,6,13.1,International,453,1
29,7,188.92,12.594666666666665,15,15,15,10.979999999999999,Express,225,1
30,1,34.06,17.03,2,2,2,11.9,Express,207,1
31,4,130.6,13.059999999999999,10,10,10,8.6,Priority,158,0
32,2,37.35,7.470000000000001,5,5,5,24.5,International,501,1
33,6,78.16,7.816,10,10,10,9.26,Priority,504,1
34,1,19.31,19.31,1,1,1,5.9,Standard,955,1
35,1,9.64,4.82,2,2,2,5.9,Standard,599,1
36,6,165.05,12.696153846153845,13,13,13,14.43846153846154,International,61,0
37,2,41.14,13.713333333333333,3,3,3,19.3,International,158,0
38,4,77.77,9.721250000000001,8,8,8,15.95,International,33,0
39,2,55.52,11.104000000000001,5,5,5,19.46,International,190,1
40,3,60.839999999999996,12.168000000000001,5,5,5,12.02,Priority,74,0
41,4,65.04,8.13,8,8,8,16.7,International,117,0
42,2,44.91,14.969999999999999,3,3,3,18.3,International,659,1
43,1,6.32,2.106666666666667,3,3,3,11.9,Express,409,1
44,4,92.99000000000001,8.453636363636365,11,11,11,12.063636363636363,Standard,206,1
45,3,50.81,8.468333333333334,6,6,6,8.9,Priority,303,1
46,5,99.64,9.963999999999999,10,10,10,13.88,Priority,16,0
47,1,4.81,4.81,1,1,1,8.9,Priority,459,1
48,3,56.849999999999994,11.370000000000001,5,5,5,7.1,Standard,62,0
49,7,131.75,10.134615384615385,13,13,13,16.792307692307695,International,162,0
50,2,40.06,10.015,4,4,4,16.7,International,605,1
51,4,104.91,9.537272727272727,11,11,11,12.881818181818183,International,209,1
52,3,62.39,10.398333333333333,6,6,6,20.3,International,337,1
53,6,120.07000000000001,8.576428571428572,14,14,14,11.385714285714286,Priority,66,0
54,3,92.16,15.360000000000001,6,6,6,8.9,Express,280,1
55,10,197.04,9.852,20,20,20,13.430000000000001,Standard,294,1
56,5,65.49,8.186250000000001,8,8,8,16.7,International,326,1
57,5,81.52,8.152000000000001,10,10,10,7.1,Standard,307,1
58,3,32.61,8.1525,4,4,4,13.55,Express,427,1
59,7,140.63,10.817692307692308,13,13,13,12.684615384615386,Express,0,0
60,4,97.4,8.854545454545455,11,11,11,10.372727272727273,Standard,97,0
61,7,81.39,6.7825,12,12,12,13.299999999999999,Priority,32,0
62,5,90.86,11.3575,8,8,8,11.600000000000001,Priority,421,1
63,7,123.51,8.822142857142856,14,14,14,8.9,Express,37,0
64,5,121.41,9.33923076923077,13,13,13,12.5,Express,62,0
65,3,51.19,7.312857142857142,7,7,7,14.728571428571428,International,39,0
66,9,162.31,9.547647058823529,17,17,17,12.429411764705883,Standard,126,0
67,5,106.18,9.65272727272727,11,11,11,12.554545454545455,Express,6,0
68,4,67.82,8.4775,8,8,8,7.775,Standard,130,0
69,1,6.8,6.8,1,1,1,11.9,Express,295,1
70,3,73.28,12.213333333333333,6,6,6,8.4,Priority,414,1
71,4,78.30000000000001,11.185714285714287,7,7,7,10.185714285714285,Express,40,0
72,1,43.480000000000004,14.493333333333332,3,3,3,24.5,International,466,1
73,10,243.61,11.073181818181817,22,22,22,12.827272727272726,Express,5,0
75,3,38.18,9.545,4,4,4,9.65,Express,320,1
76,3,47.99,11.9975,4,4,4,10.55,Standard,392,1
77,7,97.14999999999999,9.715,10,10,10,9.860000000000001,Standard,126,0
78,2,79.56,15.911999999999997,5,5,5,17.06,International,524,1
79,6,69.49000000000001,7.721111111111112,9,9,9,16.5,International,40,0
80,14,336.68,12.949230769230768,26,26,26,15.961538461538462,International,192,1
81,3,24.24,4.848,5,5,5,17.06,International,282,1
82,5,70.18,10.025714285714287,7,7,7,13.357142857142858,Priority,363,1
83,2,23.54,7.846666666666667,3,3,3,14.1,Priority,587,1
84,2,21.76,7.253333333333334,3,3,3,24.5,International,189,1
