line_id,order_id,book_id,price
1,1405,1505,10.12
2,1505,1389,2.11
3,5325,1705,8.99
4,7190,8775,11.89
5,6530,6743,4.94
6,8618,4627,6.78
7,10893,4967,4.31
8,1067,8216,0.91
9,5048,142,18.54
10,6236,6636,4.03
11,8695,2418,9.65
12,8874,8466,7.13
13,10324,5568,8.64
14,2394,7341,0.04
15,4928,349,3.0
16,9666,7311,16.7
17,6719,2262,10.23
18,610,10540,4.05
19,4114,1887,4.82
20,6825,7752,15.21
21,2417,7917,5.53
22,8597,2767,8.26
23,11285,3561,7.21
24,1858,9367,2.57
25,4215,1288,3.88
26,9670,6919,10.56
27,704,8607,5.68
28,953,1118,12.99
29,2123,10534,15.7
30,4524,940,1.35
31,4663,932,4.33
32,5038,9247,10.12
33,7033,401,13.25
34,7050,2284,0.76
35,10450,6402,15.24
36,10769,937,2.7
37,1712,4688,14.05
38,4276,2761,2.66
39,6166,10255,4.18
40,10505,3107,15.39
41,1754,114,14.85
42,2406,7580,3.58
43,4768,9475,14.42
44,6270,548,1.67
45,7027,3008,2.02
46,8229,7710,3.24
47,10596,8150,3.52
48,6545,7583,17.6
49,8472,3962,2.8
50,9533,7026,14.75
51,10476,8832,15.12
52,2233,4429,14.45
53,7264,4661,18.54
54,8286,4195,2.1
55,855,4376,13.03
56,4225,869,8.71
57,7338,10497,8.22
58,8427,2486,17.7
59,9597,8392,2.33
60,10554,3561,5.01
61,456,3242,14.12
62,1272,7293,3.19
63,5157,9244,13.52
64,7175,9868,8.13
65,8733,4147,12.87
66,10844,1113,11.38
67,716,6072,0.42
68,1802,5211,5.57
69,5223,10986,2.03
70,8850,6056,8.35
71,10542,5066,0.47
72,10762,8371,13.81
73,1996,2186,18.2
74,163,10695,1.51
75,1934,5506,4.94
76,6261,8361,0.31
77,6512,9158,1.38
78,352,9737,3.38
79,5144,2453,11.89
80,1574,3468,15.49
81,1537,10436,7.32
82,2102,177,19.63
83,4665,9572,7.14
84,6952,2259,18.89
85,1580,1268,14.72
86,2077,3754,9.58
87,4344,4274,9.66
88,4521,2919,17.26
89,6622,5868,0.97
90,7233,7336,3.03
91,8502,8681,8.93
92,8541,9911,2.3
93,1210,10036,3.31
94,5193,1349,2.19
95,6770,2049,11.84
96,11402,4544,5.31
97,671,1131,14.24
98,2226,2837,2.78
99,5514,10342,4.62
100,6152,4078,2.79
101,6801,6650,11.4
102,10921,641,11.55
103,1800,7949,16.79
104,4285,616,15.15
105,8734,6909,16.65
106,587,3332,20.0
107,624,1123,10.1
108,2146,2473,11.93
109,4853,3500,15.68
110,5395,10867,10.62
111,5579,8077,0.72
112,6367,17,18.0
113,10475,5514,15.56
114,1602,4478,13.57
115,6603,2070,17.88
116,9464,10154,17.61
117,10443,7404,13.71
118,200,4787,1.9
119,10619,2061,12.81
120,2168,7188,6.19
121,2490,6771,2.29
122,4389,8319,7.89
123,5102,8116,9.27
124,7075,1440,5.13
125,8940,9942,13.97
126,9365,9037,19.31
127,617,4338,1.07
128,844,1090,6.58
129,1209,3907,15.37
130,4564,8788,12.86
131,4792,9421,6.08
132,7081,10898,19.71
133,8411,11006,19.79
134,5012,10900,18.6
135,7005,7908,15.28
136,79,7651,2.92
137,5047,7431,18.01
138,7248,5562,15.95
139,9364,5420,0.87
140,6996,8406,12.94
141,10914,10790,18.15
142,1604,6978,8.27
143,1634,2079,13.87
144,10928,10080,8.99
145,1702,5904,6.08
146,1803,10333,14.62
147,6391,9676,3.09
